No.,漢字氏名,ｶﾅｼﾒｲ,生年月日,住所,電話番号
1,鈴木　太郎,ｽｽﾞｷ ﾀﾛｳ,1988-01-02,東京都大田区久が原1－1－1四教マンション,080-1253-6953
2,鈴木　次郎,ｽｽﾞｷ ｼﾞﾛｳ,1988-01-03,東京都大田区久が原1－1－1四教マンション,080-1253-6954
3,鈴木　太郎,ｽｽﾞｷ ﾀﾛｳ,1988-01-04,東京都大田区久が原1－1－1四教マンション,080-1253-6955
4,鈴木　次郎,ｽｽﾞｷ ｼﾞﾛｳ,1988-01-05,東京都大田区久が原1－1－1四教マンション,080-1253-6956
5,鈴木　太郎,ｽｽﾞｷ ﾀﾛｳ,1988-01-06,東京都大田区久が原1－1－1四教マンション,080-1253-6957
6,鈴木　次郎,ｽｽﾞｷ ｼﾞﾛｳ,1988-01-07,東京都大田区久が原1－1－1四教マンション,080-1253-6958
7,鈴木　太郎,ｽｽﾞｷ ﾀﾛｳ,1988-01-08,東京都大田区久が原1－1－1四教マンション,080-1253-6959
8,鈴木　次郎,ｽｽﾞｷ ｼﾞﾛｳ,1988-01-09,東京都大田区久が原1－1－1四教マンション,080-1253-6960
9,鈴木　太郎,ｽｽﾞｷ ﾀﾛｳ,1988-01-10,東京都大田区久が原1－1－1四教マンション,080-1253-6961
10,鈴木　次郎,ｽｽﾞｷ ｼﾞﾛｳ,1988-01-11,東京都大田区久が原1－1－1四教マンション,080-1253-6962
