No.	漢字氏名	ｶﾅｼﾒｲ	生年月日	住所	電話番号
1	山田　太郎	ﾔﾏﾀﾞ ﾀﾛｳ	1988-01-02	東京都大田区久が原1－1－1四教マンション	080-1253-6953
2	山田　次郎	ﾔﾏﾀﾞ ｼﾞﾛｳ	1988-01-03	東京都大田区久が原1－1－1四教マンション	080-1253-6954
3	山田　太郎	ﾔﾏﾀﾞ ﾀﾛｳ	1988-01-04	東京都大田区久が原1－1－1四教マンション	080-1253-6955
4	山田　次郎	ﾔﾏﾀﾞ ｼﾞﾛｳ	1988-01-05	東京都大田区久が原1－1－1四教マンション	080-1253-6956
5	山田　太郎	ﾔﾏﾀﾞ ﾀﾛｳ	1988-01-06	東京都大田区久が原1－1－1四教マンション	080-1253-6957
6	山田　次郎	ﾔﾏﾀﾞ ｼﾞﾛｳ	1988-01-07	東京都大田区久が原1－1－1四教マンション	080-1253-6958
7	山田　太郎	ﾔﾏﾀﾞ ﾀﾛｳ	1988-01-08	東京都大田区久が原1－1－1四教マンション	080-1253-6959
8	山田　次郎	ﾔﾏﾀﾞ ｼﾞﾛｳ	1988-01-09	東京都大田区久が原1－1－1四教マンション	080-1253-6960
9	山田　太郎	ﾔﾏﾀﾞ ﾀﾛｳ	1988-01-10	東京都大田区久が原1－1－1四教マンション	080-1253-6961
10	山田　次郎	ﾔﾏﾀﾞ ｼﾞﾛｳ	1988-01-11	東京都大田区久が原1－1－1四教マンション	080-1253-6962
